Iteration,ManagementArea,ActivatedDOValues,ActivatedDO,MatchedDO,MostImportantGoal,TotalNumberOfDO
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
3,1,97.5943;64.4921,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
4,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
5,1,97.5943;64.4921,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
6,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
7,1,97.5943;64.4921,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
8,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
9,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
10,1,12.4709;5.4529,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
11,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
12,1,97.5943;64.4921,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
13,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
14,1,97.5943;64.4921,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
15,1,99.4135;77.5708,MM1-1_DO4;MM2-1_DO4,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
16,1,97.5943;64.4921,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
17,1,97.5943;64.4921,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
18,1,99.0548;69.7528,MM1-1_DO5;MM2-1_DO5,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM1-1_DO5;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4;MM2-1_DO5,G1,10
19,1,97.5943;64.4921,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM1-1_DO5;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4;MM2-1_DO5,G1,10
20,1,99.4135;77.5708,MM1-1_DO4;MM2-1_DO4,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM1-1_DO5;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4;MM2-1_DO5,G1,10
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
